score,score_dealer,hard,score_if_hit,score_fin_dealer,game_id,hard_if_hit
16,10,True,20,20,121,True
20,10,True,30,20,121,True
13,10,True,21,20,122,True
18,2,True,19,21,123,True
19,2,True,20,21,123,True
20,2,True,25,21,123,True
16,2,True,26,21,124,True
19,2,True,26,21,125,True
9,11,True,13,22,126,True
13,11,True,16,22,126,True
16,11,True,22,22,126,True
6,11,True,14,22,127,True
14,11,True,16,22,127,True
16,11,True,26,22,127,True
18,11,True,17,22,128,True
17,11,True,20,22,128,True
20,11,True,30,22,128,True
4,4,True,14,21,129,True
14,4,True,24,21,129,True
4,4,True,11,21,130,True
11,4,True,14,21,130,True
14,4,True,22,21,130,True
12,4,True,15,21,131,True
15,4,True,21,21,131,True
16,4,True,26,21,132,True
16,10,True,26,21,133,True
18,10,True,28,21,134,True
17,10,True,22,21,135,True
19,5,True,24,22,136,True
19,5,True,23,22,137,True
21,5,True,,22,138,
12,2,True,22,20,139,True
11,2,True,14,20,140,True
14,2,True,15,20,140,True
15,2,True,17,20,140,True
17,2,True,20,20,140,True
20,2,True,27,20,140,True
18,2,True,27,20,141,True
10,9,True,20,19,142,True
20,9,True,30,19,142,True
17,9,True,21,19,143,True
10,9,True,21,19,144,True
10,9,True,17,19,145,True
17,9,True,27,19,145,True
11,10,True,15,22,146,True
15,10,True,22,22,146,True
12,10,True,17,22,147,True
17,10,True,27,22,147,True
10,10,True,20,22,148,True
20,10,True,23,22,148,True
10,10,True,20,22,149,True
20,10,True,30,22,149,True
13,5,True,12,21,150,True
12,5,True,20,21,150,True
20,5,True,24,21,150,True
18,5,True,18,21,151,True
18,5,True,28,21,151,True
12,5,True,21,21,152,True
11,6,True,16,18,153,True
16,6,True,26,18,153,True
9,6,True,19,18,154,True
19,6,True,27,18,154,True
15,6,True,18,18,155,True
18,6,True,27,18,155,True
11,9,True,18,18,156,True
18,9,True,28,18,156,True
5,9,True,8,18,157,True
8,9,True,15,18,157,True
15,9,True,25,18,157,True
16,9,True,20,18,158,True
20,9,True,25,18,158,True
18,9,True,23,19,159,True
11,9,True,21,19,160,True
20,9,True,22,19,161,True
12,6,True,17,22,162,True
17,6,True,24,22,162,True
4,6,True,12,22,163,True
12,6,True,22,22,163,True
4,6,True,13,22,164,True
13,6,True,23,22,164,True
12,6,True,16,22,165,True
16,6,True,18,22,165,True
18,6,True,28,22,165,True
17,9,True,15,20,166,True
15,9,True,17,20,166,True
17,9,True,27,20,166,True
19,9,True,26,20,167,True
18,9,True,19,20,168,True
19,9,True,29,20,168,True
13,5,True,23,19,169,True
17,5,True,24,19,170,True
13,5,True,23,19,171,True
6,10,True,14,21,172,True
14,10,True,16,21,172,True
16,10,True,20,21,172,True
20,10,True,23,21,172,True
17,10,True,18,21,173,True
18,10,True,19,21,173,True
19,10,True,21,21,173,True
19,10,True,29,21,174,True
19,8,True,24,18,175,True
12,8,True,19,18,176,True
19,8,True,26,18,176,True
14,8,True,19,18,177,True
19,8,True,13,18,177,True
13,8,True,23,18,177,True
18,6,True,20,20,178,True
20,6,True,29,20,178,True
12,6,True,20,20,179,True
20,6,True,30,20,179,True
11,6,True,15,20,180,True
15,6,True,20,20,180,True
20,6,True,30,20,180,True
14,10,True,24,20,181,True
13,10,True,23,20,182,True
19,10,True,29,20,183,True
18,11,True,18,19,184,True
18,11,True,28,19,184,True
10,11,True,13,19,185,True
13,11,True,20,19,185,True
20,11,True,29,19,185,True
11,11,True,18,19,186,True
18,11,True,23,19,186,True
18,6,True,28,22,187,True
14,6,True,14,22,188,True
14,6,True,19,22,188,True
19,6,True,20,22,188,True
20,6,True,21,22,188,True
19,6,True,22,22,189,True
13,11,True,20,21,190,True
20,11,True,30,21,190,True
8,11,True,16,21,191,True
16,11,True,24,21,191,True
19,11,True,29,21,192,True
9,9,True,19,24,193,True
19,9,True,20,24,193,True
20,9,True,25,24,193,True
9,9,True,19,24,194,True
19,9,True,22,24,194,True
10,9,True,16,24,195,True
16,9,True,22,24,195,True
12,9,True,13,24,196,True
13,9,True,23,24,196,True
13,5,True,20,20,197,True
20,5,True,23,20,197,True
10,5,True,20,20,198,True
20,5,True,28,20,198,True
10,5,True,19,20,199,True
19,5,True,26,20,199,True
15,5,True,21,20,200,True
10,7,True,20,22,201,True
20,7,True,26,22,201,True
16,7,True,26,22,202,True
9,7,True,11,22,203,True
11,7,True,18,22,203,True
18,7,True,22,22,203,True
17,11,True,27,20,204,True
10,11,True,13,20,205,True
13,11,True,23,20,205,True
10,11,True,20,20,206,True
20,11,True,30,20,206,True
9,11,True,13,20,207,True
13,11,True,18,20,207,True
18,11,True,24,20,207,True
16,10,True,26,24,208,True
13,10,True,17,24,209,True
17,10,True,18,24,209,True
18,10,True,22,24,209,True
